,A1,,A2,,A3,,A4,,A5,,A6,,A7,
I1,m,0.88,h,0.92,l,0.96,m,1.00,vh,0.55,vh,0.61,vl,0.96
I2,l,0.92,z,0.88,m,0.84,z,0.96,m,0.92,h,0.61,l,0.96
I3,h,0.78,m,0.67,z,0.98,m,0.84,l,1.00,m,0.73,l,0.96
I4,h,0.84,m,0.84,vl,0.84,m,0.92,h,0.96,l,0.84,l,0.96
I5,m,0.55,vh,0.84,vh,0.98,h,0.73,vh,0.61,h,0.61,m,0.49
I6,vl,1.00,h,0.61,m,0.84,l,0.55,l,0.98,m,0.67,m,0.96
I7,l,0.98,l,0.96,m,0.92,h,0.55,m,0.67,l,0.96,l,0.96
I8,m,0.88,l,0.92,l,0.88,m,1.00,vl,1.00,m,0.98,l,0.55
I9,h,0.92,h,1.00,h,0.84,h,0.84,l,0.49,h,0.73,l,0.67
I10,m,0.84,l,0.73,m,0.88,vl,0.92,l,1.00,vh,0.96,l,0.98
I11,h,0.84,h,0.61,h,0.96,m,0.98,m,0.61,vl,0.96,vl,0.96
I12,l,0.88,vl,0.88,vl,1.00,vl,0.96,m,0.88,l,0.84,vh,0.88
I13,h,0.78,m,0.92,h,0.92,l,1.00,vh,0.78,h,0.67,h,0.98
I14,m,0.98,h,0.67,h,1.00,h,0.67,vh,0.67,h,0.49,l,0.49
I15,m,0.88,l,0.88,l,0.84,h,0.98,h,0.96,vh,0.96,h,0.61
I16,m,0.92,vl,1.00,m,1.00,vh,0.78,h,0.92,m,1.00,m,0.92
I17,l,0.96,l,0.78,vl,0.96,vh,0.55,h,0.55,vl,0.92,m,0.67
I18,z,0.88,l,0.92,h,0.98,h,0.61,m,0.98,l,0.98,h,0.61
I19,vh,0.92,m,0.84,vl,0.96,vl,0.92,vl,0.98,vh,0.92,m,0.92
I20,h,0.67,vl,0.78,l,1.00,h,0.84,vh,0.61,l,0.67,vl,0.92
