,A1,,A2,,A3,,A4,,A5,,A6,,A7,
I1,h,0.73,vh,0.49,h,0.55,h,0.61,vh,1.00,vh,0.78,m,0.88
I2,z,1.00,vl,1.00,h,1.00,vl,0.88,m,0.84,m,1.00,h,0.84
I3,vh,0.84,h,1.00,m,0.78,h,0.84,h,0.67,vh,0.73,m,0.96
I4,vh,0.55,h,0.98,h,0.49,h,0.55,vh,0.73,h,0.88,h,0.55
I5,h,0.98,vh,1.00,vh,1.00,vh,1.00,vh,0.98,h,0.49,h,0.67
I6,h,0.98,vh,0.88,vh,0.92,h,0.78,vl,0.98,h,0.92,m,1.00
I7,h,0.96,h,0.49,h,0.96,vh,0.78,h,0.96,m,0.92,m,0.96
I8,vh,0.67,m,0.55,vh,0.61,h,1.00,z,1.00,h,0.49,l,0.84
I9,vh,0.73,vh,0.96,vh,1.00,vh,0.98,h,0.78,vh,0.73,h,0.92
I10,h,1.00,m,0.92,vh,0.92,l,0.98,m,0.84,vh,0.55,m,0.88
I11,vh,1.00,vh,0.84,h,0.88,m,0.55,m,0.61,l,0.55,z,1.00
I12,l,1.00,z,1.00,z,1.00,z,1.00,l,1.00,z,1.00,vh,0.55
I13,h,0.61,vh,0.49,vh,0.98,h,0.67,vh,1.00,vh,0.73,vh,1.00
I14,h,0.73,vh,1.00,vh,0.96,vh,0.98,vh,0.96,h,0.55,h,0.73
I15,h,1.00,h,0.61,h,0.98,vh,1.00,vh,0.98,vh,0.73,vh,1.00
I16,h,1.00,h,0.61,vh,0.49,vh,1.00,vh,0.67,h,0.98,h,0.61
I17,m,0.84,m,0.78,vl,0.98,h,0.98,m,0.78,l,0.96,h,0.84
I18,m,0.96,vh,0.67,h,0.92,vh,0.84,l,0.73,l,1.00,h,0.92
I19,vh,0.88,m,1.00,h,0.67,l,0.96,vl,0.98,vh,1.00,h,0.78
I20,h,0.73,m,0.96,h,0.98,h,1.00,vh,0.73,h,1.00,l,0.92
